Designator,Mid X,Mid Y,Rotation,Layer
C1,189.15,-76.7,0.0,top
C12,189.25,-70.29,0.0,top
C13,189.25,-73.3,0.0,top
C14,184.6,-119.5,180.0,top
C15,189.0,-83.0,0.0,top
C16,189.0,-86.1,0.0,top
C17,198.1125,-100.35,0.0,top
C18,198.1125,-107.25,0.0,top
C19,198.1125,-105.1,0.0,top
C2,232.25,-103.8,0.0,top
C20,189.3,-124.7,270.0,top
C21,190.5,-119.1,270.0,top
C22,179.4,-122.8,90.0,top
C3,232.25,-107.1,0.0,top
C4,126.97,-100.33,90.0,top
C5,124.72,-100.33,90.0,top
C6,137.2,-100.6,0.0,top
C7,137.2,-102.75,0.0,top
C8,127.0,-108.4,0.0,top
C9,184.6,-117.3,180.0,top
D1,198.8,-123.35,0.0,top
D10,69.0,-103.0,243.0,top
D11,115.9,-94.65,180.0,top
D12,135.75,-94.65,180.0,top
D13,155.6,-94.65,180.0,top
D14,216.504289,-71.833579,315.0,top
D2,155.48,-116.25,0.0,top
D3,135.306666,-116.25,0.0,top
D4,115.133333,-116.25,0.0,top
D5,78.540552,-114.50714,332.0,top
D6,68.676682,-108.0,297.0,top
D7,95.48,-116.35,0.0,top
D8,96.0,-95.0,180.0,top
D9,78.424275,-95.875742,208.0,top
J1,255.4,-105.686482,90.0,top
J10,219.3,-84.28,0.0,top
J11,181.856299,-79.856299,212.5,top
J12,215.9,-115.4,270.0,top
J2,76.73,-105.701482,0.0,top
J3,249.2,-105.7,90.0,top
J4,117.05,-105.701482,0.0,top
J5,215.3,-79.0,180.0,top
J6,228.325,-87.15,90.0,top
J7,166.87,-105.701482,0.0,top
J8,228.2,-123.7,90.0,top
J9,241.9,-105.8,0.0,top
L1,185.1,-125.2,180.0,top
Q1,206.3,-119.2375,180.0,top
Q2,200.8375,-119.25,180.0,top
R1,203.25,-123.4,0.0,top
R2,192.6,-119.1,270.0,top
R3,188.4,-119.1,270.0,top
R4,194.9,-136.9,180.0,top
R5,213.6,-70.1,270.0,top
R6,206.6875,-100.4,0.0,top
R7,206.6875,-103.35,0.0,top
RN1,172.7,-82.8,90.0,top
RN4,204.65,-92.125,90.0,top
SW1,186.1,-98.1,90.0,top
SW3,146.503331,-106.008449,90.0,top
SW4,157.303331,-106.008449,90.0,top
SW5,200.8,-141.6,180.0,top
U1,202.0,-73.94,0.0,top
U2,232.49,-99.26,0.0,top
U3,131.6,-104.9,180.0,top
U4,195.05,-102.7,0.0,top
U6,186.1625,-121.8,0.0,top
